"ep_no","series_ep_code","title","air_date"
"533","s12e37","Thunder Struck (1)","2004-11-13"
"534","s12e38","Thunder Struck (2)","2004-11-20"
"535","s13e01","Beginnings (1)","2005-02-05"
"536","s13e02","Beginnings (2)","2005-02-05"
"537","s13e03","Confronted","2005-02-12"
"538","s13e04","Walls","2005-02-19"
"539","s13e05","Dogged","2005-02-26"
"540","s13e06","A-Bridged","2005-03-05"
"541","s13e07","Sam (1)","2005-03-12"
"542","s13e08","Sam (2)","2005-03-19"
"543","s13e09","Idol","2005-04-02"
"544","s13e10","Stakeout","2005-04-09"
"545","s13e11","Shadow (1)","2005-04-16"
"546","s13e12","Shadow (2)","2005-04-23"
"547","s13e13","Abandoned","2005-04-30"
"548","s13e14","Wired (1)","2005-05-07"
"549","s13e15","Wired (2)","2005-05-14"
"550","s13e16","Boom","2005-05-21"
"551","s13e17","Recognition","2005-06-04"
"552","s13e18","Samurai","2005-06-11"
"553","s13e19","Dismissed","2005-06-18"
"554","s13e20","Perspective","2005-06-25"
"555","s13e21","Messenger (1)","2005-07-10"
"556","s13e22","Messenger (2)","2005-07-16"
"557","s13e23","Zapped","2005-07-25"
"558","s13e24","Reflection (1)","2005-08-12"
"559","s13e25","Reflection (2)","2005-08-12"
"560","s13e26","S.W.A.T. (1)","2005-08-15"
"561","s13e27","S.W.A.T. (2)","2005-08-22"
"562","s13e28","Robotpalooza","2005-08-29"
"563","s13e29","Impact","2005-09-23"
"564","s13e30","Katastrophe","2005-09-26"
"565","s13e31","Missing","2005-10-03"
"566","s13e32","History","2005-10-11"
"567","s13e33","Badge","2005-10-17"
"568","s13e34","Insomnia","2005-10-28"
"569","s13e35","Resurrection","2005-11-04"
"570","s13e36","Endings (1)","2005-11-07"
"571","s13e37","Endings (2)","2005-11-14"
"572","s13e38","Wormhole","2006-02-02"
"573","s14e01","Broken Spell (1)","2006-02-20"
"574","s14e02","Broken Spell (2)","2006-02-20"
"575","s14e03","Code Busters","2006-02-27"
"576","s14e04","Rock Solid","2006-03-06"
"577","s14e05","Whispering Voices","2006-03-13"
"578","s14e06","Legendary Catastros","2006-03-20"
"579","s14e07","Fire Heart","2006-03-27"
"580","s14e08","Stranger Within (1)","2006-04-03"
"581","s14e09","Stranger Within (2)","2006-04-17"
"582","s14e10","Petrified Xander","2006-04-24"
"583","s14e11","The Gatekeeper (1)","2006-05-08"
"584","s14e12","The Gatekeeper (2)","2006-05-15"
"585","s14e13","Scaredy Cat","2006-06-05"
"586","s14e14","Long Ago","2006-06-12"
"587","s14e15","Inner Strength","2006-06-12"
"588","s14e16","Soul Specter","2006-06-19"
"589","s14e17","Ranger Down","2006-06-26"
"590","s14e18","Dark Wish (1)","2006-07-10"
"591","s14e19","Dark Wish (2)","2006-07-10"
"592","s14e20","Dark Wish (3)","2006-07-10"
"593","s14e21","Koragg's Trial","2006-07-22"
"594","s14e22","Heir Apparent (1)","2006-07-29"
"595","s14e23","Heir Apparent (2)","2006-08-11"
"596","s14e24","The Light","2006-08-14"
"597","s14e25","The Hunter","2006-08-20"
"598","s14e26","Hard Heads","2006-09-18"
"599","s14e27","The Snow Prince","2006-09-25"
"600","s14e28","Light Source (1)","2006-10-09"
"601","s14e29","Light Source (2)","2006-10-09"
"602","s14e30","The Return","2006-10-30"
"603","s14e31","Mystic Fate (1)","2006-11-13"
"604","s14e32","Mystic Fate (2)","2006-11-13"
"605","s15e01","Kick Into Overdrive (1)","2007-02-26"
"606","s15e02","Kick Into Overdrive (2)","2007-02-26"
"607","s15e03","The Underwater World","2007-03-05"
"608","s15e04","Heart of Blue","2007-03-12"
"609","s15e05","Weather or Not","2007-03-19"
"610","s15e06","Pirate in Pink","2007-03-26"
"611","s15e07","At All Costs","2007-04-02"
"612","s15e08","Both Sides Now","2007-04-09"
"613","s15e09","Follow the Ranger","2007-04-30"
"614","s15e10","Lights, Camera, Dax","2007-05-07"
"615","s15e11","Face to Face (1)","2007-05-14"
"616","s15e12","Face to Face (2)","2007-05-21"
"617","s15e13","Man of Mercury (1)","2007-06-04"
"618","s15e14","Man of Mercury (2)","2007-06-04"
"619","s15e15","Behind the Scenes","2007-06-11"
"620","s15e16","Just Like Me","2007-06-18"
"621","s15e17","It's Hammer Time","2007-07-02"
"622","s15e18","Out of Luck","2007-07-09"
"623","s15e19","One Gets Away","2007-07-16"
"624","s15e20","Once a Ranger (1)","2007-07-23"
"625","s15e21","Once a Ranger (2)","2007-07-23"
"626","s15e22","One Fine Day","2007-08-06"
"627","s15e23","Ronny on Empty (1)","2007-08-20"
"628","s15e24","Ronny on Empty (2)","2007-08-27"
"629","s15e25","Things Not Said","2007-09-10"
"630","s15e26","Red Ranger Unplugged","2007-10-01"
"631","s15e27","Home and Away (1)","2007-10-08"
"632","s15e28","Home and Away (2)","2007-10-15"
"633","s15e29","Way Back When","2007-10-22"
"634","s15e30","Two Fallen Foes","2007-10-29"
"635","s15e31","Nothing to Lose","2007-11-05"
"636","s15e32","Crown and Punishment","2007-11-12"
"637","s16e01","Welcome to the Jungle (1)","2008-02-18"
"638","s16e02","Welcome to the Jungle (2)","2008-02-18"
"639","s16e03","Sigh of the Tiger","2008-02-25"
"640","s16e04","A Taste of Poison","2008-03-03"
"641","s16e05","Can't Win Them All","2008-03-10"
"642","s16e06","Dance the Night Away","2008-03-17"
"643","s16e07","Pizza Slice of Life","2008-03-24"
"644","s16e08","Way of the Master","2008-03-31"
"645","s16e09","Good Karma, Bad Karma","2008-04-21"
"646","s16e10","Blind Leading the Blind","2008-04-27"
"647","s16e11","Pushed to the Edge","2008-05-05"
"648","s16e12","One Master Too Many","2008-05-12"
"649","s16e13","Ghost of a Chance (1)","2008-05-19"
"650","s16e14","Ghost of a Chance (2)","2008-05-19"
"651","s16e15","Bad to the Bone","2008-06-02"
"652","s16e16","Friends Don't Fade Away","2008-06-16"
"653","s16e17","No","2008-06-23"
"654","s16e18","True Friends, True Spirits","2008-06-30"
"655","s16e19","Path of the Rhino","2008-07-07"
"656","s16e20","Dash for the Dagger","2008-07-14"
"657","s16e21","Race to the Nexus","2008-07-21"
"658","s16e22","Arise the Crystal Eyes","2008-07-28"
"659","s16e23","Fear and the Phantoms","2008-08-04"
"660","s16e24","Blue Ranger, Twin Danger","2008-08-11"
"661","s16e25","One Last Second Chance","2008-08-18"
"662","s16e26","Don't Blow That Dough","2008-09-29"
"663","s16e27","Tigers Fall, Lions Rise","2008-10-06"
"664","s16e28","The Spirit of Kindness","2008-10-13"
"665","s16e29","Maryl and the Monkeys","2008-10-20"
"666","s16e30","To Earn Your Stripes","2008-10-27"
"667","s16e31","Path of the Righteous","2008-11-03"
"668","s16e32","Now the Final Fury","2008-11-03"
"669","s17e01","The Road to Corinth","2009-03-07"
"670","s17e02","Fade to Black","2009-03-07"
"671","s17e03","Rain","2009-03-14"
"672","s17e04","Go for the Green","2009-03-21"
"673","s17e05","Handshake","2009-03-28"
"674","s17e06","Ranger Green","2009-04-04"
"675","s17e07","Ranger Red","2009-04-11"
"676","s17e08","Ranger Yellow (1)","2009-04-18"
"677","s17e09","Ranger Yellow (2)","2009-04-25"
"678","s17e10","Ranger Blue","2009-05-02"
"679","s17e11","Doctor K","2009-05-09"
"680","s17e12","Blitz","2009-05-16"
"681","s17e13","Brother’s Keeper","2009-05-23"
"682","s17e14","Embodied","2009-06-13"
"683","s17e15","Ghosts","2009-06-20"
"684","s17e16","In or Out","2009-07-04"
"685","s17e17","Prisoners","2009-07-11"
"686","s17e18","Belly of the Beast","2009-08-01"
"687","s17e19","Three's a Crowd","2009-08-08"
"688","s17e20","Heroes Among Us","2009-08-15"
"689","s17e21","Not So Simple","2009-08-22"
"690","s17e22","The Dome Dolls","2009-09-05"
"691","s17e23","And… Action","2009-09-12"
"692","s17e24","Ancient History","2009-09-19"
"693","s17e25","Key to the Past","2009-09-26"
"694","s17e26","Beyond a Doubt","2009-09-26"
"695","s17e27","Control-Alt-Delete","2009-10-03"
"696","s17e28","Run Ziggy Run","2009-10-03"
"697","s17e29","If Venjix Won","2009-12-19"
"698","s17e30","End Game","2009-12-19"
"699","s17e31","Danger and Destiny (1)","2009-12-26"
"700","s17e32","Danger and Destiny (2)","2009-12-26"
"701","s18e01","The Team Unites","2011-02-07"
"702","s18e02","Deal With a Nighlok","2011-02-13"
"703","s18e03","Day Off","2011-02-20"
"704","s18e04","Sticks and Stones","2011-02-27"
"705","s18e05","A Fish Out of Water","2011-03-06"
"706","s18e06","There Go the Brides","2011-03-13"
"707","s18e07","I've Got a Spell on Blue","2011-03-20"
"708","s18e08","Forest for the Trees","2011-03-27"
"709","s18e09","Test of the Leader","2011-04-10"
"710","s18e10","Jayden's Challenge","2011-04-17"
"711","s18e11","Unexpected Arrival","2011-04-30"
"712","s18e12","Room for One More","2011-05-07"
"713","s18e13","The Blue and the Gold","2011-05-14"
"714","s18e14","Team Spirit","2011-05-21"
"715","s18e15","The Tengen Gate","2011-05-28"
"716","s18e16","Boxed In","2011-06-04"
"717","s18e17","Broken Dreams","2011-10-01"
"718","s18e18","The Ultimate Duel","2011-10-08"
"719","s18e19","Origins (1)","2011-10-15"
"720","s18e20","Origins (2)","2011-10-22"
"721","s18e21","Party Monsters","2011-10-29"
"722","s18e22","Clash of the Red Rangers","2011-11-26"
"723","s18e23","Christmas Together, Friends Forever","2011-12-10"
"724","s19e01","Super Samurai","2012-02-18"
"725","s19e02","Shell Game","2012-02-25"
"726","s19e03","Trading Places","2012-03-03"
"727","s19e04","Something Fishy","2012-03-10"
"728","s19e05","The Rescue","2012-03-17"
"729","s19e06","The Bullzord","2012-03-24"
"730","s19e07","He Ain't Heavy Metal, He's My Brother","2012-03-31"
"731","s19e08","Kevin's Choice","2012-04-07"
"732","s19e09","Runaway Spike","2012-04-14"
"733","s19e10","The Strange Case of the Munchies","2012-04-21"
"734","s19e11","A Sticky Situation","2012-04-28"
"735","s19e12","Trust Me","2012-05-05"
"736","s19e13","The Master Returns","2012-05-12"
"737","s19e14","A Crack in the World","2012-10-13"
"738","s19e15","Trickster Treat","2012-10-27"
"739","s19e16","Stroke of Fate","2012-11-03"
"740","s19e17","Fight Fire with Fire","2012-11-10"
"741","s19e18","The Great Duel","2012-11-17"
"742","s19e19","Evil Reborn","2012-11-24"
"743","s19e20","The Sealing Symbol","2012-12-01"
"744","s19e21","Samurai Forever","2012-12-08"
"745","s19e22","Stuck on Christmas","2012-12-15"
"746","s20e01","Mega Mission","2013-02-02"
"747","s20e02","He Blasted Me with Science","2013-02-09"
"748","s20e03","Going Viral","2013-02-16"
"749","s20e04","Stranger Ranger","2013-02-23"
"750","s20e05","United We Stand","2013-03-02"
"751","s20e06","Harmony and Dizchord","2013-03-09"
"752","s20e07","Who’s Crying Now?","2013-03-16"
"753","s20e08","Robo Knight","2013-03-30"
"754","s20e09","Prince Takes Knight","2013-04-06"
"755","s20e10","Man and Machine","2013-09-07"
"756","s20e11","Ultra Power","2013-09-14"
"757","s20e12","Last Laugh","2013-09-28"
"758","s20e13","Dream Snatcher","2013-10-05"
"759","s20e14","Gosei Ultimate","2013-10-12"
"760","s20e15","Raising Spirits","2013-10-19"
"761","s20e16","The Human Factor","2013-10-26"
"762","s20e17","Rico the Robot","2013-11-02"
"763","s20e18","Staying on Track","2013-11-09"
"764","s20e19","The Human Condition","2013-11-16"
"765","s20e20","The Messenger","2013-11-23"
"766","s20e21","End Game","2013-11-30"
"767","s20e22","The Robo Knight Before Christmas","2013-12-07"
"768","s21e01","Super Megaforce","2014-02-15"
"769","s21e02","Earth Fights Back","2014-02-22"
"770","s21e03","Blue Saber Saga","2014-03-01"
"771","s21e04","A Lion's Alliance","2014-03-08"
"772","s21e05","Samurai Surprise","2014-03-15"
"773","s21e06","Spirit of the Tiger","2014-03-22"
"774","s21e07","Silver Lining (1)","2014-04-05"
"775","s21e08","Silver Lining (2)","2014-04-12"
"776","s21e09","Power of Six","2014-08-30"
"777","s21e10","The Perfect Storm","2014-09-06"
"778","s21e11","Love Is In the Air","2014-09-13"
"779","s21e12","United as One","2014-09-27"
"780","s21e13","The Grass is Always Greener... or Bluer","2014-10-04"
"781","s21e14","In the Driver's Seat","2014-10-11"
"782","s21e15","All Hail Prince Vekar","2014-10-18"
"783","s21e16","Vrak is Back (1)","2014-10-25"
"784","s21e17","Vrak is Back (2)","2014-11-01"
"785","s21e18","Emperor Mavro","2014-11-08"
"786","s21e19","The Wrath","2014-11-15"
"787","s21e20","Legendary Battle","2014-11-22"
"788","s22e01","Powers From the Past","2015-02-07"
"789","s22e02","Past, Present and Fusion","2015-02-14"
"790","s22e03","A Fool's Hour","2015-02-21"
"791","s22e04","Return of the Caveman","2015-02-28"
"792","s22e05","Breaking Black","2015-03-07"
"793","s22e06","The Tooth Hurts","2015-03-14"
"794","s22e07","Let Sleeping Zords Lie","2015-03-21"
"795","s22e08","Double Ranger, Double Danger","2015-04-04"
"796","s22e09","When Logic Fails","2015-08-22"
"797","s22e10","The Royal Rangers","2015-08-29"
"798","s22e11","Break Out","2015-09-12"
"799","s22e12","Knight After Knights","2015-09-19"
"800","s22e13","Sync or Swim","2015-10-03"
"801","s22e14","True Black","2015-10-10"
"802","s22e15","The Ghostest With the Mostest","2015-10-17"
"803","s22e16","Rise of a Ranger","2015-10-24"
"804","s22e17","No Matter How You Slice It","2015-11-07"
"805","s22e18","World Famous (In New Zealand)","2015-11-14"
"806","s22e19","Deep Down Under","2015-11-21"
"807","s22e20","Wishing for a Hero","2015-11-28"
"808","s22e21","Race to Rescue Christmas","2015-12-05"
"809","s22e22","One More Energem","2015-12-12"
"810","s23e01","When Evil Stirs","2016-01-30"
"811","s23e02","Forgive and Forget","2016-02-06"
"812","s23e03","Nightmare in Amber Beach","2016-02-13"
"813","s23e04","A Date with Danger","2016-02-20"
"814","s23e05","Roar of the Red Ranger","2016-02-27"
"815","s23e06","Forged Under Fire","2016-03-05"
"816","s23e07","Home Run Koda","2016-03-19"
"817","s23e08","Riches and Rags","2016-03-26"
"818","s23e09","Besties 4Eva","2016-08-20"
"819","s23e10","Gone Fishin","2016-08-27"
"820","s23e11","Love at First Fight","2016-09-03"
"821","s23e12","Catching Some Rays","2016-09-10"
"822","s23e13","Recipe for Disaster","2016-09-24"
"823","s23e14","Silver Secret","2016-10-01"
"824","s23e15","Trick or Trial","2016-10-08"
"825","s23e16","Wings of Danger","2016-10-15"
"826","s23e17","Freaky Fightday","2016-10-22"
"827","s23e18","Worgworld","2016-10-29"
"828","s23e19","The Rangers Rock!","2016-11-05"
"829","s23e20","Edge of Extinction","2016-11-12"
"830","s23e21","End of Extinction","2016-11-19"
"831","s23e22","Here Comes Heximas","2016-12-10"
"832","s24e01","Return of the Prism","2017-01-21"
"833","s24e02","Forged in Steel","2017-01-28"
"834","s24e03","Live and Learn","2017-02-04"
"835","s24e04","Presto Change-O","2017-02-11"
"836","s24e05","Drive to Survive","2017-02-25"
"837","s24e06","My Friend Redbot","2017-03-04"
"838","s24e07","Hack Attack","2017-03-18"
"839","s24e08","Gold Rush","2017-03-18"
"840","s24e09","Rocking & Rolling","2017-08-12"
"841","s24e10","The Ranger Ribbon","2017-08-19"
"842","s24e11","Poisonous Plots","2017-08-26"
"843","s24e12","Family Fusion","2017-09-02"
"844","s24e13","Ace and the Race","2017-09-09"
"845","s24e14","The Royal Rival","2017-09-16"
"846","s24e15","The Royal Rumble","2017-09-23"
"847","s24e16","Grave Robber","2017-10-07"
"848","s24e17","Monkey Business","2017-10-14"
"849","s24e18","The Adventures of Redbot","2017-10-21"
"850","s24e19","Abrakadanger","2017-10-28"
"851","s24e20","Helping Hand","2017-11-04"
"852","s24e21","Galvanax Rises","2017-11-18"
"853","s24e22","Past, Presents and Future","2017-12-02"
"854","s25e01","Echoes of Evil","2018-01-27"
"855","s25e02","Moment of Truth","2018-02-03"
"856","s25e03","Tough Love","2018-02-10"
"857","s25e04","Making Waves","2018-02-17"
"858","s25e05","Game Plan","2018-02-24"
"859","s25e06","Attack of the Galactic Ninjas","2018-03-03"
"860","s25e07","The Need for Speed","2018-03-10"
"861","s25e08","Caught Red-Handed","2018-03-17"
"862","s25e09","Outfoxed","2018-08-25"
"863","s25e10","Dimensions in Danger","2018-08-28"
"864","s25e11","Love Stings","2018-09-01"
"865","s25e12","Fan Frenzy","2018-09-08"
"866","s25e13","Prepare to Fail","2018-09-15"
"867","s25e14","Sheriff Skyfire","2018-09-22"
"868","s25e15","Tech Support","2018-09-29"
"869","s25e16","Car Trouble","2018-10-06"
"870","s25e17","Happy to Be Me","2018-10-13"
"871","s25e18","Monster Mix-Up","2018-10-20"
"872","s25e19","Magic Misfire","2018-10-27"
"873","s25e20","Doom Signal","2018-11-03"
"874","s25e21","Reaching the Nexus","2018-11-10"
"875","s25e22","The Poisy Show","2018-12-01"
"876","s26e01","Beasts Unleashed","2019-03-02"
"877","s26e02","Evox's Revenge","2019-03-09"
"878","s26e03","End of the Road","2019-03-16"
"879","s26e04","Digital Deception","2019-03-30"
"880","s26e05","Taking Care of Business","2019-04-06"
"881","s26e06","Hangar Heist","2019-04-13"
"882","s26e07","A Friend Indeed","2019-04-20"
"883","s26e08","The Cybergate Opens","2019-04-27"
"884","s26e09","Silver Sacrifice","2019-09-14"
"885","s26e10","Thrills and Drills","2019-09-21"
"886","s26e11","Tools of the Betrayed","2019-09-28"
"887","s26e12","Real Steel","2019-10-05"
"888","s26e13","Tuba Triumph","2019-10-12"
"889","s26e14","Hypnotic Halloween","2019-10-19"
"890","s26e15","Sound and Fury","2019-10-26"
"891","s26e16","Seeing Red","2019-11-02"
"892","s26e17","Gorilla Art","2019-11-09"
"893","s26e18","Ranger Reveal","2019-11-16"
"894","s26e19","Rewriting History","2019-11-23"
"895","s26e20","Target: Tower","2019-11-30"
"896","s26e21","Evox: Upgraded","2019-12-07"
"897","s26e22","Scrozzle's Revenge","2019-12-14"
"898","s27e01","Believe It or Not","2020-02-22"
"899","s27e02","Save Our Shores","2020-02-29"
"900","s27e03","Game On!","2020-03-07"
"901","s27e04","Artist Anonymous","2020-03-14"
"902","s27e05","Cruisin' for a Bruisin'","2020-03-28"
"903","s27e06","The Blame Game","2020-04-04"
"904","s27e07","Beast King Rampage","2020-04-11"
"905","s27e08","Boxed In","2020-04-18"
"906","s27e09","Secret Struggle","2020-04-25"
"907","s27e10","The Evox Snare","2020-09-19"
"908","s27e11","Intruder Alert!","2020-09-26"
"909","s27e12","The Greater Good","2020-10-03"
"910","s27e13","Finders Keepers","2020-10-10"
"911","s27e14","Making Bad","2020-10-17"
"912","s27e15","Grid Connection","2020-10-24"
"913","s27e16","Golden Opportunity","2020-10-31"
"914","s27e17","Goin' Ape","2020-11-07"
"915","s27e18","The Silva Switch","2020-11-14"
"916","s27e19","Fossil Frenzy","2020-11-21"
"917","s27e20","Crunch Time","2020-11-28"
"918","s27e21","Source Code","2020-12-05"
"919","s27e22","Evox Unleashed","2020-12-12"
"920","s28e01","Destination Dinohenge","2021-02-20"
"921","s28e02","Sporix Unleashed","2021-02-27"
"922","s28e03","Lost Signal","2021-03-06"
"923","s28e04","New Recruits","2021-03-20"
"924","s28e05","Winning Attitude","2021-03-27"
"925","s28e06","Superstition Strikes","2021-04-03"
"926","s28e07","Stego Search","2021-04-10"
"927","s28e08","Unexpected Guest","2021-04-17"
"928","s28e09","Cut Off","2021-06-15"
"929","s28e10","Phoning Home","2021-06-15"
"930","s28e11","McScary Manor","2021-06-15"
"931","s28e12","Super Hotshot","2021-10-09"
"932","s28e13","The Matchmaker","2021-10-15"
"933","s28e14","Old Foes","2021-10-15"
"934","s28e15","Storm Surge","2021-10-15"
"935","s28e16","Ancient History","2021-10-15"
"936","s28e17","Our Hero","2021-10-15"
"937","s28e18","Crossed Wires","2021-10-15"
"938","s28e19","The Makeover","2021-10-15"
"939","s28e20","Waking Nightmares","2021-10-15"
"940","s28e21","Void Trap","2021-10-15"
"941","s28e22","Secret Santa","2021-10-15"
"942","s29e01","Numero Uno","2022-03-03"
"943","s29e02","The Festival","2022-03-03"
"944","s29e03","Missing Pieces","2022-03-03"
"945","s29e04","Tiny Trouble","2022-03-03"
"946","s29e05","Stitched Up","2022-03-03"
"947","s29e06","Jam Session","2022-03-03"
"948","s29e07","New Leaf","2022-03-03"
"949","s29e08","Serious Business","2022-03-03"
"950","s29e09","The Hunt","2022-03-03"
"951","s29e10","Losers Weapers","2022-03-03"
"952","s29e11","The Copycat","2022-03-03"
"953","s29e12","Ultimate Mystery","2022-09-29"
"954","s29e13","Love Hate","2022-09-29"
"955","s29e14","Rafkon Revealed","2022-09-29"
"956","s29e15","Morphin Master","2022-09-29"
"957","s29e16","Wishful Thinking","2022-09-29"
"958","s29e17","Things Unspoken","2022-09-29"
"959","s29e18","Guilt Trip","2022-09-29"
"960","s29e19","Bad Vibes","2022-09-29"
"961","s29e20","The Invasion","2022-09-29"
"962","s29e21","The Truth","2022-09-29"
"963","s29e22","The Nemesis","2022-09-29"
"964","s30e01","Lightning Strikes","2023-09-29"
"965","s30e02","Beyond Repair","2023-09-29"
"966","s30e03","Off Grid","2023-09-29"
"967","s30e04","Team Work","2023-09-29"
"968","s30e05","Rock Out","2023-09-29"
"969","s30e06","Take Off","2023-09-29"
"970","s30e07","Operation Seasoning","2023-09-29"
"971","s30e08","Switching Sides","2023-09-29"
"972","s30e09","Master Plan","2023-09-29"
"973","s30e10","The End","2023-09-29"
